xflr5 v6.59

 Calculated polar for: NACA 4415

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.250 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-10.000,-0.6721, 0.04037, 0.03566,-0.0856,0.9809,0.0466,-4.5915, 0.0000, 0.0000, 0.0000, 0.1074
 -9.500,-0.6456, 0.03235, 0.02675,-0.0884,0.9684,0.0484,-4.5462, 0.0000, 0.0000, 0.0000, 0.0981
 -9.000,-0.5788, 0.02899, 0.02314,-0.0935,0.9636,0.0514,-4.2412, 0.0000, 0.0000, 0.0000, 0.0731
 -8.500,-0.5270, 0.02679, 0.02062,-0.0942,0.9510,0.0549,-3.9748, 0.0000, 0.0000, 0.0000, 0.0558
 -8.000,-0.4509, 0.02445, 0.01781,-0.0994,0.9461,0.0600,-3.6548, 0.0000, 0.0000, 0.0000, 0.0131
 -7.500,-0.3947, 0.02219, 0.01544,-0.1005,0.9340,0.0650,-3.3757, 0.0000, 0.0000, 0.0000,-0.0215
 -7.000,-0.3192, 0.02055, 0.01352,-0.1046,0.9278,0.0711,-3.0497, 0.0000, 0.0000, 0.0000,-0.0966
 -6.500,-0.2576, 0.01868, 0.01156,-0.1060,0.9184,0.0782,-2.7665, 0.0000, 0.0000, 0.0000,-0.1827
 -6.000,-0.1963, 0.01793, 0.01066,-0.1068,0.9070,0.0868,-2.4787, 0.0000, 0.0000, 0.0000,-0.3191
 -5.500,-0.1358, 0.01651, 0.00927,-0.1077,0.8969,0.0982,-2.2482, 0.0000, 0.0000, 0.0000,-0.5756
 -5.000,-0.0800, 0.01539, 0.00810,-0.1074,0.8821,0.1105,-2.0297, 0.0000, 0.0000, 0.0000,-1.1406
 -4.500,-0.0250, 0.01461, 0.00732,-0.1069,0.8665,0.1270,-1.8105, 0.0000, 0.0000, 0.0000,-4.1538
 -4.000, 0.0343, 0.01382, 0.00651,-0.1071,0.8524,0.1473,-1.5885, 0.0000, 0.0000, 0.0000, 3.4621
 -3.500, 0.0866, 0.01329, 0.00598,-0.1061,0.8331,0.1720,-1.3970, 0.0000, 0.0000, 0.0000, 1.5036
 -3.000, 0.1414, 0.01273, 0.00547,-0.1056,0.8136,0.2030,-1.2238, 0.0000, 0.0000, 0.0000, 1.0107
 -2.500, 0.1976, 0.01231, 0.00504,-0.1053,0.7937,0.2415,-1.0521, 0.0000, 0.0000, 0.0000, 0.7907
 -2.000, 0.2520, 0.01190, 0.00471,-0.1047,0.7722,0.2884,-0.8941, 0.0000, 0.0000, 0.0000, 0.6698
 -1.500, 0.3044, 0.01150, 0.00447,-0.1038,0.7485,0.3486,-0.7598, 0.0000, 0.0000, 0.0000, 0.5933
